fold,epoch,mse_train
0,1069,0.026057986761849443
0,1070,0.026057986761849443
0,1071,0.026057986761849443
0,1072,0.026057986761849443
0,1073,0.026057986761849443
0,1074,0.026057986761849443
0,1075,0.026057986761849443
0,1076,0.026057986761849443
0,1077,0.026057986761849443
0,1078,0.026057986761849443
0,1079,0.026057986761849443
0,1080,0.026057986761849443
0,1081,0.026057986761849443
0,1082,0.026057986761849443
0,1083,0.026057986761849443
0,1084,0.026057986761849443
0,1085,0.026057986761849443
0,1086,0.026057986761849443
0,1087,0.026057986761849443
0,1088,0.026057986761849443
0,1089,0.026057986761849443
0,1090,0.026057986761849443
0,1091,0.026057986761849443
0,1092,0.026057986761849443
0,1093,0.026057986761849443
0,1094,0.026057986761849443
0,1095,0.026057986761849443
0,1096,0.026057986761849443
0,1097,0.026057986761849443
0,1098,0.026057986761849443
0,1099,0.026057986761849443
0,1100,0.026057986761849443
0,1101,0.026057986761849443
0,1102,0.026057986761849443
0,1103,0.026057986761849443
0,1104,0.026057986761849443
0,1105,0.026057986761849443
0,1106,0.026057986761849443
0,1107,0.026057986761849443
0,1108,0.026057986761849443
0,1109,0.026057986761849443
0,1110,0.026057986761849443
0,1111,0.026057986761849443
0,1112,0.026057986761849443
0,1113,0.026057986761849443
0,1114,0.026057986761849443
0,1115,0.026057986761849443
0,1116,0.026057986761849443
0,1117,0.026057986761849443
0,1118,0.026057986761849443
0,1119,0.026057986761849443
0,1120,0.026057986761849443
0,1121,0.026057986761849443
0,1122,0.026057986761849443
0,1123,0.026057986761849443
0,1124,0.026057986761849443
0,1125,0.026057986761849443
0,1126,0.026057986761849443
0,1127,0.026057986761849443
0,1128,0.026057986761849443
0,1129,0.026057986761849443
0,1130,0.026057986761849443
0,1131,0.026057986761849443
0,1132,0.026057986761849443
0,1133,0.026057986761849443
0,1134,0.026057986761849443
0,1135,0.026057986761849443
0,1136,0.026057986761849443
0,1137,0.026057986761849443
0,1138,0.026057986761849443
0,1139,0.026057986761849443
0,1140,0.026057986761849443
0,1141,0.026057986761849443
0,1142,0.026057986761849443
0,1143,0.026057986761849443
0,1144,0.026057986761849443
0,1145,0.026057986761849443
0,1146,0.026057986761849443
0,1147,0.026057986761849443
0,1148,0.026057986761849443
0,1149,0.026057986761849443
0,1150,0.026057986761849443
0,1151,0.026057986761849443
0,1152,0.026057986761849443
0,1153,0.026057986761849443
0,1154,0.026057986761849443
0,1155,0.026057986761849443
0,1156,0.026057986761849443
0,1157,0.026057986761849443
0,1158,0.026057986761849443
0,1159,0.026057986761849443
0,1160,0.026057986761849443
0,1161,0.026057986761849443
0,1162,0.026057986761849443
0,1163,0.026057986761849443
0,1164,0.026057986761849443
0,1165,0.026057986761849443
0,1166,0.026057986761849443
0,1167,0.026057986761849443
0,1168,0.026057986761849443
0,1169,0.026057986761849443
0,1170,0.026057986761849443
0,1171,0.026057986761849443
0,1172,0.026057986761849443
0,1173,0.026057986761849443
0,1174,0.026057986761849443
0,1175,0.026057986761849443
0,1176,0.026057986761849443
0,1177,0.026057986761849443
0,1178,0.026057986761849443
0,1179,0.026057986761849443
0,1180,0.026057986761849443
0,1181,0.026057986761849443
0,1182,0.026057986761849443
0,1183,0.026057986761849443
0,1184,0.026057986761849443
0,1185,0.026057986761849443
0,1186,0.026057986761849443
0,1187,0.026057986761849443
0,1188,0.026057986761849443
0,1189,0.026057986761849443
0,1190,0.026057986761849443
0,1191,0.026057986761849443
0,1192,0.026057986761849443
0,1193,0.026057986761849443
0,1194,0.026057986761849443
0,1195,0.026057986761849443
0,1196,0.026057986761849443
0,1197,0.026057986761849443
0,1198,0.026057986761849443
0,1199,0.026057986761849443
0,1200,0.026057986761849443
0,1201,0.026057986761849443
0,1202,0.026057986761849443
0,1203,0.026057986761849443
0,1204,0.026057986761849443
0,1205,0.026057986761849443
0,1206,0.026057986761849443
0,1207,0.026057986761849443
0,1208,0.026057986761849443
0,1209,0.026057986761849443
0,1210,0.026057986761849443
0,1211,0.026057986761849443
0,1212,0.026057986761849443
0,1213,0.026057986761849443
0,1214,0.026057986761849443
0,1215,0.026057986761849443
0,1216,0.026057986761849443
0,1217,0.026057986761849443
0,1218,0.026057986761849443
0,1219,0.026057986761849443
0,1220,0.026057986761849443
0,1221,0.026057986761849443
0,1222,0.026057986761849443
0,1223,0.026057986761849443
0,1224,0.026057986761849443
0,1225,0.026057986761849443
0,1226,0.026057986761849443
0,1227,0.026057986761849443
0,1228,0.026057986761849443
0,1229,0.026057986761849443
0,1230,0.026057986761849443
0,1231,0.026057986761849443
0,1232,0.026057986761849443
0,1233,0.026057986761849443
0,1234,0.026057986761849443
0,1235,0.026057986761849443
0,1236,0.026057986761849443
0,1237,0.026057986761849443
0,1238,0.026057986761849443
0,1239,0.026057986761849443
0,1240,0.026057986761849443
0,1241,0.026057986761849443
0,1242,0.026057986761849443
0,1243,0.026057986761849443
0,1244,0.026057986761849443
0,1245,0.026057986761849443
0,1246,0.026057986761849443
0,1247,0.026057986761849443
0,1248,0.026057986761849443
0,1249,0.026057986761849443
0,1250,0.026057986761849443
0,1251,0.026057986761849443
0,1252,0.026057986761849443
0,1253,0.026057986761849443
0,1254,0.026057986761849443
0,1255,0.026057986761849443
0,1256,0.026057986761849443
0,1257,0.026057986761849443
0,1258,0.026057986761849443
0,1259,0.026057986761849443
0,1260,0.026057986761849443
0,1261,0.026057986761849443
0,1262,0.026057986761849443
0,1263,0.026057986761849443
0,1264,0.026057986761849443
0,1265,0.026057986761849443
0,1266,0.026057986761849443
0,1267,0.026057986761849443
0,1268,0.026057986761849443
0,1269,0.026057986761849443
0,1270,0.026057986761849443
0,1271,0.026057986761849443
0,1272,0.026057986761849443
0,1273,0.026057986761849443
0,1274,0.026057986761849443
0,1275,0.026057986761849443
0,1276,0.026057986761849443
0,1277,0.026057986761849443
0,1278,0.026057986761849443
0,1279,0.026057986761849443
0,1280,0.026057986761849443
0,1281,0.026057986761849443
0,1282,0.026057986761849443
0,1283,0.026057986761849443
0,1284,0.026057986761849443
0,1285,0.026057986761849443
0,1286,0.026057986761849443
0,1287,0.026057986761849443
0,1288,0.026057986761849443
0,1289,0.026057986761849443
0,1290,0.026057986761849443
0,1291,0.026057986761849443
0,1292,0.026057986761849443
0,1293,0.026057986761849443
0,1294,0.026057986761849443
0,1295,0.026057986761849443
0,1296,0.026057986761849443
0,1297,0.026057986761849443
0,1298,0.026057986761849443
0,1299,0.026057986761849443
0,1300,0.026057986761849443
0,1301,0.026057986761849443
0,1302,0.026057986761849443
0,1303,0.026057986761849443
0,1304,0.026057986761849443
0,1305,0.026057986761849443
0,1306,0.026057986761849443
0,1307,0.026057986761849443
0,1308,0.026057986761849443
0,1309,0.026057986761849443
0,1310,0.026057986761849443
0,1311,0.026057986761849443
0,1312,0.026057986761849443
0,1313,0.026057986761849443
0,1314,0.026057986761849443
0,1315,0.026057986761849443
0,1316,0.026057986761849443
0,1317,0.026057986761849443
0,1318,0.026057986761849443
0,1319,0.026057986761849443
0,1320,0.026057986761849443
0,1321,0.026057986761849443
0,1322,0.026057986761849443
0,1323,0.026057986761849443
0,1324,0.026057986761849443
0,1325,0.026057986761849443
0,1326,0.026057986761849443
0,1327,0.026057986761849443
0,1328,0.026057986761849443
0,1329,0.026057986761849443
0,1330,0.026057986761849443
0,1331,0.026057986761849443
0,1332,0.026057986761849443
0,1333,0.026057986761849443
0,1334,0.026057986761849443
0,1335,0.026057986761849443
0,1336,0.026057986761849443
0,1337,0.026057986761849443
0,1338,0.026057986761849443
0,1339,0.026057986761849443
0,1340,0.026057986761849443
0,1341,0.026057986761849443
0,1342,0.026057986761849443
0,1343,0.026057986761849443
0,1344,0.026057986761849443
0,1345,0.026057986761849443
0,1346,0.026057986761849443
0,1347,0.026057986761849443
0,1348,0.026057986761849443
0,1349,0.026057986761849443
0,1350,0.026057986761849443
0,1351,0.026057986761849443
0,1352,0.026057986761849443
0,1353,0.026057986761849443
0,1354,0.026057986761849443
0,1355,0.026057986761849443
0,1356,0.026057986761849443
0,1357,0.026057986761849443
0,1358,0.026057986761849443
0,1359,0.026057986761849443
0,1360,0.026057986761849443
0,1361,0.026057986761849443
0,1362,0.026057986761849443
0,1363,0.026057986761849443
0,1364,0.026057986761849443
0,1365,0.026057986761849443
0,1366,0.026057986761849443
0,1367,0.026057986761849443
0,1368,0.026057986761849443
0,1369,0.026057986761849443
0,1370,0.026057986761849443
0,1371,0.026057986761849443
0,1372,0.026057986761849443
0,1373,0.026057986761849443
0,1374,0.026057986761849443
0,1375,0.026057986761849443
0,1376,0.026057986761849443
0,1377,0.026057986761849443
0,1378,0.026057986761849443
0,1379,0.026057986761849443
0,1380,0.026057986761849443
0,1381,0.026057986761849443
0,1382,0.026057986761849443
0,1383,0.026057986761849443
0,1384,0.026057986761849443
0,1385,0.026057986761849443
0,1386,0.026057986761849443
0,1387,0.026057986761849443
0,1388,0.026057986761849443
0,1389,0.026057986761849443
0,1390,0.026057986761849443
0,1391,0.026057986761849443
0,1392,0.026057986761849443
0,1393,0.026057986761849443
0,1394,0.026057986761849443
0,1395,0.026057986761849443
0,1396,0.026057986761849443
0,1397,0.026057986761849443
0,1398,0.026057986761849443
0,1399,0.026057986761849443
0,1400,0.026057986761849443
0,1401,0.026057986761849443
0,1402,0.026057986761849443
0,1403,0.026057986761849443
0,1404,0.026057986761849443
0,1405,0.026057986761849443
0,1406,0.026057986761849443
0,1407,0.026057986761849443
0,1408,0.026057986761849443
0,1409,0.026057986761849443
0,1410,0.026057986761849443
0,1411,0.026057986761849443
0,1412,0.026057986761849443
0,1413,0.026057986761849443
0,1414,0.026057986761849443
0,1415,0.026057986761849443
0,1416,0.026057986761849443
0,1417,0.026057986761849443
0,1418,0.026057986761849443
0,1419,0.026057986761849443
0,1420,0.026057986761849443
0,1421,0.026057986761849443
0,1422,0.026057986761849443
0,1423,0.026057986761849443
0,1424,0.026057986761849443
0,1425,0.026057986761849443
0,1426,0.026057986761849443
0,1427,0.026057986761849443
0,1428,0.026057986761849443
0,1429,0.026057986761849443
0,1430,0.026057986761849443
0,1431,0.026057986761849443
0,1432,0.026057986761849443
0,1433,0.026057986761849443
0,1434,0.026057986761849443
0,1435,0.026057986761849443
0,1436,0.026057986761849443
0,1437,0.026057986761849443
0,1438,0.026057986761849443
0,1439,0.026057986761849443
0,1440,0.026057986761849443
0,1441,0.026057986761849443
0,1442,0.026057986761849443
0,1443,0.026057986761849443
0,1444,0.026057986761849443
0,1445,0.026057986761849443
0,1446,0.026057986761849443
0,1447,0.026057986761849443
0,1448,0.026057986761849443
0,1449,0.026057986761849443
0,1450,0.026057986761849443
0,1451,0.026057986761849443
0,1452,0.026057986761849443
0,1453,0.026057986761849443
0,1454,0.026057986761849443
0,1455,0.026057986761849443
0,1456,0.026057986761849443
0,1457,0.026057986761849443
0,1458,0.026057986761849443
0,1459,0.026057986761849443
0,1460,0.026057986761849443
0,1461,0.026057986761849443
0,1462,0.026057986761849443
0,1463,0.026057986761849443
0,1464,0.026057986761849443
0,1465,0.026057986761849443
0,1466,0.026057986761849443
0,1467,0.026057986761849443
0,1468,0.026057986761849443
0,1469,0.026057986761849443
0,1470,0.026057986761849443
0,1471,0.026057986761849443
0,1472,0.026057986761849443
0,1473,0.026057986761849443
0,1474,0.026057986761849443
0,1475,0.026057986761849443
0,1476,0.026057986761849443
0,1477,0.026057986761849443
0,1478,0.026057986761849443
0,1479,0.026057986761849443
0,1480,0.026057986761849443
0,1481,0.026057986761849443
0,1482,0.026057986761849443
0,1483,0.026057986761849443
0,1484,0.026057986761849443
0,1485,0.026057986761849443
0,1486,0.026057986761849443
0,1487,0.026057986761849443
0,1488,0.026057986761849443
0,1489,0.026057986761849443
0,1490,0.026057986761849443
0,1491,0.026057986761849443
0,1492,0.026057986761849443
0,1493,0.026057986761849443
0,1494,0.026057986761849443
0,1495,0.026057986761849443
0,1496,0.026057986761849443
0,1497,0.026057986761849443
0,1498,0.026057986761849443
0,1499,0.026057986761849443
0,1500,0.026057986761849443
0,1501,0.026057986761849443
0,1502,0.026057986761849443
0,1503,0.026057986761849443
0,1504,0.026057986761849443
0,1505,0.026057986761849443
0,1506,0.026057986761849443
0,1507,0.026057986761849443
0,1508,0.026057986761849443
0,1509,0.026057986761849443
0,1510,0.026057986761849443
0,1511,0.026057986761849443
0,1512,0.026057986761849443
0,1513,0.026057986761849443
0,1514,0.026057986761849443
0,1515,0.026057986761849443
0,1516,0.026057986761849443
0,1517,0.026057986761849443
0,1518,0.026057986761849443
0,1519,0.026057986761849443
0,1520,0.026057986761849443
0,1521,0.026057986761849443
0,1522,0.026057986761849443
0,1523,0.026057986761849443
0,1524,0.026057986761849443
0,1525,0.026057986761849443
0,1526,0.026057986761849443
0,1527,0.026057986761849443
0,1528,0.026057986761849443
0,1529,0.026057986761849443
0,1530,0.026057986761849443
0,1531,0.026057986761849443
0,1532,0.026057986761849443
0,1533,0.026057986761849443
0,1534,0.026057986761849443
0,1535,0.026057986761849443
0,1536,0.026057986761849443
0,1537,0.026057986761849443
0,1538,0.026057986761849443
0,1539,0.026057986761849443
0,1540,0.026057986761849443
0,1541,0.026057986761849443
0,1542,0.026057986761849443
0,1543,0.026057986761849443
0,1544,0.026057986761849443
0,1545,0.026057986761849443
0,1546,0.026057986761849443
0,1547,0.026057986761849443
0,1548,0.026057986761849443
0,1549,0.026057986761849443
0,1550,0.026057986761849443
0,1551,0.026057986761849443
0,1552,0.026057986761849443
0,1553,0.026057986761849443
0,1554,0.026057986761849443
0,1555,0.026057986761849443
0,1556,0.026057986761849443
0,1557,0.026057986761849443
0,1558,0.026057986761849443
0,1559,0.026057986761849443
0,1560,0.026057986761849443
0,1561,0.026057986761849443
0,1562,0.026057986761849443
0,1563,0.026057986761849443
0,1564,0.026057986761849443
0,1565,0.026057986761849443
0,1566,0.026057986761849443
0,1567,0.026057986761849443
0,1568,0.026057986761849443
0,1569,0.026057986761849443
0,1570,0.026057986761849443
0,1571,0.026057986761849443
0,1572,0.026057986761849443
0,1573,0.026057986761849443
0,1574,0.026057986761849443
0,1575,0.026057986761849443
0,1576,0.026057986761849443
0,1577,0.026057986761849443
0,1578,0.026057986761849443
0,1579,0.026057986761849443
0,1580,0.026057986761849443
0,1581,0.026057986761849443
0,1582,0.026057986761849443
0,1583,0.026057986761849443
0,1584,0.026057986761849443
0,1585,0.026057986761849443
0,1586,0.026057986761849443
0,1587,0.026057986761849443
0,1588,0.026057986761849443
0,1589,0.026057986761849443
0,1590,0.026057986761849443
0,1591,0.026057986761849443
0,1592,0.026057986761849443
0,1593,0.026057986761849443
0,1594,0.026057986761849443
0,1595,0.026057986761849443
0,1596,0.026057986761849443
0,1597,0.026057986761849443
0,1598,0.026057986761849443
0,1599,0.026057986761849443
0,1600,0.026057986761849443
0,1601,0.026057986761849443
0,1602,0.026057986761849443
0,1603,0.026057986761849443
0,1604,0.026057986761849443
0,1605,0.026057986761849443
0,1606,0.026057986761849443
0,1607,0.026057986761849443
0,1608,0.026057986761849443
0,1609,0.026057986761849443
0,1610,0.026057986761849443
0,1611,0.026057986761849443
0,1612,0.026057986761849443
0,1613,0.026057986761849443
0,1614,0.026057986761849443
0,1615,0.026057986761849443
0,1616,0.026057986761849443
0,1617,0.026057986761849443
0,1618,0.026057986761849443
0,1619,0.026057986761849443
0,1620,0.026057986761849443
0,1621,0.026057986761849443
0,1622,0.026057986761849443
0,1623,0.026057986761849443
0,1624,0.026057986761849443
0,1625,0.026057986761849443
0,1626,0.026057986761849443
0,1627,0.026057986761849443
0,1628,0.026057986761849443
0,1629,0.026057986761849443
0,1630,0.026057986761849443
0,1631,0.026057986761849443
0,1632,0.026057986761849443
0,1633,0.026057986761849443
0,1634,0.026057986761849443
0,1635,0.026057986761849443
0,1636,0.026057986761849443
0,1637,0.026057986761849443
0,1638,0.026057986761849443
0,1639,0.026057986761849443
0,1640,0.026057986761849443
0,1641,0.026057986761849443
0,1642,0.026057986761849443
0,1643,0.026057986761849443
0,1644,0.026057986761849443
0,1645,0.026057986761849443
0,1646,0.026057986761849443
0,1647,0.026057986761849443
0,1648,0.026057986761849443
0,1649,0.026057986761849443
0,1650,0.026057986761849443
0,1651,0.026057986761849443
0,1652,0.026057986761849443
0,1653,0.026057986761849443
0,1654,0.026057986761849443
0,1655,0.026057986761849443
0,1656,0.026057986761849443
0,1657,0.026057986761849443
0,1658,0.026057986761849443
0,1659,0.026057986761849443
